,movie_title,release_date,genre,age_rating,total_gross,inflation_adjusted_gross
78,"Honey, I Shrunk the Kids",1989-06-23,Adventure,Parent Guidance,130724172,276191669
79,Turner & Hooch,1989-07-28,Comedy,Parent Guidance,71079915,150176361
81,An Innocent Man,1989-10-06,Drama,-17 & Parent Guidance,19397847,40983414
82,Gross Anatomy,1989-10-20,Drama,+13 & Parent Guidance,11346186,23972012
83,The Little Mermaid,1989-11-15,Adventure,All,111543479,223726012
84,Blaze,1989-12-13,Drama,-17 & Parent Guidance,19049727,39884640
85,Stella,1990-02-02,Drama,+13 & Parent Guidance,20062347,40077147
87,Pretty Woman,1990-03-23,Romantic Comedy,-17 & Parent Guidance,178406268,356389765
88,Ernest Goes to Jail,1990-04-06,Comedy,Parent Guidance,25029569,49999822
89,Spaced Invaders,1990-04-27,Comedy,Parent Guidance,15000000,29964452
90,Fire Birds,1990-05-24,Action,+13 & Parent Guidance,14760451,29485923
91,Dick Tracy,1990-06-15,Action,Parent Guidance,103738726,207231621
92,Betsy's Wedding,1990-06-22,Comedy,-17 & Parent Guidance,19740070,39433357
93,Arachnophobia,1990-07-18,Thriller/Suspense,+13 & Parent Guidance,53208180,106290270
94,DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,All,18075331,36107823
95,Taking Care of Business,1990-08-17,Comedy,-17 & Parent Guidance,20005435,39963460
96,Mr. Destiny,1990-10-12,Comedy,+13 & Parent Guidance,15379253,30722056
97,The Rescuers Down Under,1990-11-16,Adventure,All,27931461,55796728
98,3 Men and a Little Lady,1990-11-21,Comedy,Parent Guidance,71609321,143108869
99,Green Card,1990-12-25,Romantic Comedy,+13 & Parent Guidance,29804169,59679131
100,White Fang,1991-01-18,Adventure,Parent Guidance,34729091,69540672
102,Haakon Haakonsen,1991-03-01,Adventure,Parent Guidance,15024232,30084149
103,The Marrying Man,1991-04-05,Romantic Comedy,-17 & Parent Guidance,12454768,24939118
104,Oscar,1991-04-26,Comedy,Parent Guidance,23562716,47181395
105,One Good Cop,1991-05-03,Action,-17 & Parent Guidance,11276846,22580472
106,What About Bob?,1991-05-17,Comedy,Parent Guidance,63710000,127571325
108,The Rocketeer,1991-06-21,Action,Parent Guidance,46573027,93256673
109,The Doctor,1991-07-24,Drama,+13 & Parent Guidance,37497480,75084021
110,Paradise,1991-09-18,Drama,+13 & Parent Guidance,18634643,37313540
111,Deceived,1991-09-27,Thriller/Suspense,+13 & Parent Guidance,28738096,57544453
112,Ernest Scared Stupid,1991-10-11,Comedy,Parent Guidance,14143280,28320147
113,Billy Bathgate,1991-11-01,Drama,-17 & Parent Guidance,15565363,31167691
114,Beauty and the Beast,1991-11-13,Musical,All,218951625,363017667
115,Father of the Bride,1991-12-20,Comedy,Parent Guidance,89325780,179821881
116,The Hand That Rocks the Cradle,1992-01-10,Thriller/Suspense,-17 & Parent Guidance,88036683,178831137
117,Medicine Man,1992-02-07,Drama,+13 & Parent Guidance,44948240,91304495
118,Blame it on the Bellboy,1992-03-06,Comedy,+13 & Parent Guidance,2891055,5872667
119,Noises Off...,1992-03-20,Comedy,+13 & Parent Guidance,2280148,4631720
120,Straight Talk,1992-04-03,Comedy,Parent Guidance,21202099,43068356
123,Encino Man,1992-05-22,Comedy,Parent Guidance,40057130,81369058
124,Sister Act,1992-05-29,Comedy,Parent Guidance,139605150,283583472
125,Honey I Blew Up the Kid,1992-07-17,Comedy,Parent Guidance,58662452,119162518
126,A Stranger Among Us,1992-07-17,Drama,+13 & Parent Guidance,12282994,24950752
127,3 Ninjas,1992-08-07,Action,Parent Guidance,29028000,58965304
129,Captain Ron,1992-09-18,Comedy,+13 & Parent Guidance,22518097,45741576
130,Sarafina!,1992-09-18,Drama,+13 & Parent Guidance,7306242,14841352
131,Innocent Blood,1992-09-25,Horror,-17 & Parent Guidance,4877567,9907922
132,The Mighty Ducks,1992-10-02,Comedy,Parent Guidance,50752337,103120810
133,1492: Conquest of Paradise,1992-10-09,Adventure,+13 & Parent Guidance,7099531,14421454
134,Consenting Adults,1992-10-16,Drama,-17 & Parent Guidance,21591728,43859823
135,Aladdin,1992-11-11,Comedy,All,217350219,441969178
136,The Distinguished Gentleman,1992-12-04,Comedy,-17 & Parent Guidance,46434570,94349900
137,The Muppet Christmas Carol,1992-12-11,Comedy,All,27281507,55417615
138,Alive,1993-01-15,Adventure,-17 & Parent Guidance,36299670,73914543
139,Aspen Extreme,1993-01-22,Romantic Comedy,+13 & Parent Guidance,7843388,15970955
140,Homeward Bound: The Incredible Journey,1993-02-03,Adventure,All,41833324,85182343
